log_entry,log_level
"17/06/09 15:39:17 INFO python.PythonRunner: Times: total = 39, boot = 9, init = 30, finish = 0",INFO
17/06/08 16:28:10 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 35950,INFO
17/06/08 20:11:53 INFO storage.BlockManager: Found block rdd_11831_7 locally,INFO
17/06/08 21:23:15 INFO output.FileOutputCommitter: File Output Committer Algorithm version is 1,INFO
17/06/09 11:06:19 INFO executor.Executor: Finished task 36.0 in stage 1752.0 (TID 70156). 2087 bytes result sent to driver,INFO
17/06/09 09:42:14 INFO executor.Executor: Running task 23.0 in stage 335.0 (TID 13503),INFO
17/06/08 16:28:36 INFO executor.Executor: Finished task 10.0 in stage 940.0 (TID 37610). 2364 bytes result sent to driver,INFO
17/06/08 09:57:38 INFO executor.Executor: Finished task 20.0 in stage 339.0 (TID 13580). 2241 bytes result sent to driver,INFO
"17/06/09 19:52:36 INFO python.PythonRunner: Times: total = 39, boot = -25, init = 63, finish = 1",INFO
17/06/09 16:06:17 INFO executor.Executor: Finished task 16.0 in stage 2275.0 (TID 102574). 2179 bytes result sent to driver,INFO
